id_ibge,nc,votos,prop
2709103,CIRO GOMES,218,2.1659215101838054
2709103,SORAYA THRONICKE,80,0.7948335817188277
2709103,PADRE KELMON,15,0.14903129657228018
2709103,FELIPE D'AVILA,8,0.07948335817188276
2709103,VERA,2,0.01987083954297069
2709103,LÉO PÉRICLES,1,0.009935419771485345
2709103,SOFIA MANZANO,1,0.009935419771485345
2709103,EYMAEL,0,0.0
2706307,LULA,24549,62.34033368038803
2706307,JAIR BOLSONARO,12279,31.181594250742783
2706307,SIMONE TEBET,1204,3.0574671779374794
2706307,CIRO GOMES,1014,2.574976510322761
2706307,SORAYA THRONICKE,180,0.4570964219507859
2706307,PADRE KELMON,84,0.21331166357703343
2706307,FELIPE D'AVILA,42,0.10665583178851672
2706307,SOFIA MANZANO,13,0.03301251936311232
2706307,LÉO PÉRICLES,8,0.020315396531146043
2706307,EYMAEL,4,0.010157698265573022
2706307,VERA,2,0.005078849132786511
2707701,LULA,24603,50.73934294376045
2707701,JAIR BOLSONARO,20242,41.745550537235246
2707701,SIMONE TEBET,2046,4.219513704139083
2707701,CIRO GOMES,1131,2.3324877807337745
2707701,SORAYA THRONICKE,294,0.606323083585968
2707701,PADRE KELMON,76,0.15673657943038627
2707701,FELIPE D'AVILA,63,0.12992637505413598
2707701,LÉO PÉRICLES,18,0.037121821444038854
2707701,SOFIA MANZANO,9,0.018560910722019427
2707701,VERA,4,0.008249293654230857
2707701,EYMAEL,3,0.006186970240673143
2708006,LULA,17264,71.41852480039714
2708006,JAIR BOLSONARO,5387,22.285194224961735
2708006,SIMONE TEBET,793,3.2805195879700495
2708006,CIRO GOMES,552,2.283539486203616
2708006,SORAYA THRONICKE,118,0.4881479336449758
2708006,FELIPE D'AVILA,24,0.09928432548711372
2708006,PADRE KELMON,22,0.0910106316965209
2708006,SOFIA MANZANO,5,0.020684234476482027
2708006,VERA,5,0.020684234476482027
2708006,LÉO PÉRICLES,3,0.012410540685889215
2708006,EYMAEL,0,0.0
2701407,LULA,11834,65.50063651962141
2701407,JAIR BOLSONARO,5279,29.219018099297063
2701407,SIMONE TEBET,368,2.036862788509437
2701407,CIRO GOMES,349,1.9316986771461782
2701407,SORAYA THRONICKE,189,1.0461061604029445
2701407,PADRE KELMON,24,0.13283887751148504
2701407,FELIPE D'AVILA,18,0.09962915813361377
2701407,SOFIA MANZANO,3,0.01660485968893563
2701407,LÉO PÉRICLES,1,0.0055349532296452095
2701407,EYMAEL,1,0.0055349532296452095
2701407,VERA,1,0.0055349532296452095
2701704,LULA,5477,57.768167914776924
2701704,JAIR BOLSONARO,3392,35.77681679147769
2701704,SIMONE TEBET,384,4.050205674506908
2701704,CIRO GOMES,180,1.8985339099251135
2701704,SORAYA THRONICKE,23,0.2425904440459867
2701704,PADRE KELMON,14,0.14766374854973105
2701704,FELIPE D'AVILA,7,0.07383187427486552
2701704,VERA,1,0.010547410610695074
2701704,EYMAEL,1,0.010547410610695074
2701704,LÉO PÉRICLES,1,0.010547410610695074
2701704,SOFIA MANZANO,1,0.010547410610695074
2702405,LULA,22645,79.17001713107017
2702405,JAIR BOLSONARO,4486,15.683669545152606
2702405,SIMONE TEBET,783,2.7374750900255216
2702405,CIRO GOMES,573,2.0032863685627382
2702405,SORAYA THRONICKE,52,0.1817991119812607
2702405,FELIPE D'AVILA,23,0.08041114568401916
2702405,PADRE KELMON,19,0.06642659860853756
2702405,SOFIA MANZANO,9,0.03146523091983358
2702405,EYMAEL,6,0.02097682061322239
2702405,VERA,4,0.013984547075481591
2702405,LÉO PÉRICLES,3,0.010488410306611195
2705705,LULA,7204,62.16775975146703
2705705,JAIR BOLSONARO,3652,31.51536071798412
2705705,SIMONE TEBET,416,3.589920607525026
2705705,CIRO GOMES,240,2.0711080428028996
2705705,SORAYA THRONICKE,42,0.3624439074905074
2705705,PADRE KELMON,13,0.11218501898515706
2705705,FELIPE D'AVILA,12,0.10355540214014498
2705705,VERA,7,0.06040731791508457
2705705,EYMAEL,1,0.00862961684501208
2705705,LÉO PÉRICLES,1,0.00862961684501208
2705705,SOFIA MANZANO,0,0.0
2707404,LULA,2832,52.776742452478565
2707404,JAIR BOLSONARO,2235,41.65113678717853
2707404,SIMONE TEBET,160,2.981736861721953
2707404,CIRO GOMES,103,1.919493104733507
2707404,SORAYA THRONICKE,25,0.46589638464405514
2707404,PADRE KELMON,8,0.14908684308609765
2707404,FELIPE D'AVILA,2,0.03727171077152441
2707404,LÉO PÉRICLES,1,0.018635855385762207
2707404,SOFIA MANZANO,0,0.0
2707404,VERA,0,0.0
2707404,EYMAEL,0,0.0
2708907,LULA,4732,47.18787395293179
2708907,JAIR BOLSONARO,4519,45.063821300358995
2708907,SIMONE TEBET,416,4.148384523334663
2708907,CIRO GOMES,245,2.44315915436777
2708907,SORAYA THRONICKE,79,0.7877941763063423
2708907,PADRE KELMON,17,0.16952532907857998
2708907,LÉO PÉRICLES,8,0.07977662544874352
2708907,FELIPE D'AVILA,7,0.06980454726765058
2708907,VERA,2,0.01994415636218588
2708907,EYMAEL,2,0.01994415636218588
2708907,SOFIA MANZANO,1,0.00997207818109294
2701001,LULA,7789,57.55985811409992
2701001,JAIR BOLSONARO,4872,36.00354714750222
2701001,SIMONE TEBET,435,3.2146024238841266
2701001,CIRO GOMES,274,2.024830032515519
2701001,SORAYA THRONICKE,108,0.7981081879988176
2701001,PADRE KELMON,32,0.23647650014779784
2701001,FELIPE D'AVILA,15,0.11084835944428022
2701001,SOFIA MANZANO,2,0.014779781259237365
2701001,VERA,2,0.014779781259237365
2701001,LÉO PÉRICLES,2,0.014779781259237365
2701001,EYMAEL,1,0.007389890629618682
2702207,LULA,2367,59.78782520838596
2702207,JAIR BOLSONARO,1300,32.836574892649665
2702207,SIMONE TEBET,177,4.470825966153069
2702207,CIRO GOMES,71,1.793382167213943
2702207,SORAYA THRONICKE,27,0.6819904016165698
2702207,PADRE KELMON,11,0.27784794139934327
2702207,FELIPE D'AVILA,5,0.1262945188178833
2702207,VERA,1,0.025258903763576663
2702207,LÉO PÉRICLES,0,0.0
2702207,SOFIA MANZANO,0,0.0
2702207,EYMAEL,0,0.0
2702306,JAIR BOLSONARO,13580,47.33521558785597
2702306,LULA,13124,45.74575621318275
2702306,SIMONE TEBET,957,3.335773292899718
2702306,CIRO GOMES,738,2.5724145142737633
2702306,SORAYA THRONICKE,187,0.6518177698769563
2702306,PADRE KELMON,72,0.25096726968524524
2702306,FELIPE D'AVILA,19,0.06622747394471748
2702306,SOFIA MANZANO,5,0.01742828261703092
2702306,VERA,3,0.010456969570218551
2702306,LÉO PÉRICLES,2,0.006971313046812366
2702306,EYMAEL,2,0.006971313046812366
2703304,LULA,7310,80.80919743533053
2703304,JAIR BOLSONARO,1213,13.409241653769621
2703304,SIMONE TEBET,329,3.636966615078488
2703304,CIRO GOMES,163,1.8019013928808312
2703304,SORAYA THRONICKE,17,0.18792836612867564
2703304,FELIPE D'AVILA,4,0.044218439089100156
2703304,SOFIA MANZANO,4,0.044218439089100156
2703304,PADRE KELMON,3,0.033163829316825114
2703304,EYMAEL,1,0.011054609772275039
2703304,VERA,1,0.011054609772275039
2703304,LÉO PÉRICLES,1,0.011054609772275039
2706406,LULA,9991,73.29078638497653
2706406,JAIR BOLSONARO,2810,20.61326291079812
2706406,SIMONE TEBET,485,3.5578051643192485
2706406,CIRO GOMES,279,2.046654929577465
2706406,SORAYA THRONICKE,39,0.2860915492957747
2706406,PADRE KELMON,13,0.09536384976525822
2706406,SOFIA MANZANO,5,0.03667840375586854
2706406,VERA,4,0.029342723004694836
2706406,FELIPE D'AVILA,4,0.029342723004694836
2706406,LÉO PÉRICLES,2,0.014671361502347418
2706406,EYMAEL,0,0.0
2702108,LULA,5517,53.61516034985423
2702108,JAIR BOLSONARO,4190,40.71914480077745
2702108,SIMONE TEBET,305,2.9640427599611274
2702108,CIRO GOMES,203,1.9727891156462583
2702108,SORAYA THRONICKE,37,0.3595724003887269
2702108,PADRE KELMON,21,0.20408163265306123
2702108,FELIPE D'AVILA,8,0.07774538386783285
2702108,LÉO PÉRICLES,3,0.029154518950437316
2702108,SOFIA MANZANO,2,0.019436345966958212
2702108,EYMAEL,2,0.019436345966958212
2702108,VERA,2,0.019436345966958212
2703106,LULA,10652,77.31165626360865
2703106,JAIR BOLSONARO,2325,16.87472782697053
2703106,SIMONE TEBET,443,3.2152707214399765
2703106,CIRO GOMES,231,1.6765858615183629
2703106,SORAYA THRONICKE,89,0.6459573232689795
2703106,PADRE KELMON,24,0.17419073885905065
2703106,FELIPE D'AVILA,8,0.05806357961968355
2703106,VERA,4,0.029031789809841776
2703106,EYMAEL,1,0.007257947452460444
2703106,LÉO PÉRICLES,1,0.007257947452460444
2703106,SOFIA MANZANO,0,0.0
2706703,LULA,18665,61.468796311542896
2706703,JAIR BOLSONARO,9757,32.13238926395521
2706703,SIMONE TEBET,1013,3.3360777210604313
2706703,CIRO GOMES,725,2.387617322575333
2706703,SORAYA THRONICKE,123,0.40507162851967726
2706703,PADRE KELMON,48,0.15807673308084966
2706703,FELIPE D'AVILA,17,0.05598550963280092
2706703,SOFIA MANZANO,10,0.032932652725177015
2706703,VERA,4,0.013173061090070805
2706703,LÉO PÉRICLES,2,0.006586530545035402
2706703,EYMAEL,1,0.003293265272517701
2706901,LULA,10993,53.574735610897214
2706901,JAIR BOLSONARO,7913,38.56425751742288
2706901,SIMONE TEBET,978,4.766314147862957
2706901,CIRO GOMES,434,2.1151128222622937
2706901,SORAYA THRONICKE,130,0.6335591403089819
2706901,PADRE KELMON,35,0.17057361469857205
2706901,FELIPE D'AVILA,16,0.07797650957649009
2706901,LÉO PÉRICLES,7,0.03411472293971441
2706901,VERA,6,0.02924119109118378
2706901,SOFIA MANZANO,5,0.02436765924265315
2706901,EYMAEL,2,0.009747063697061261
2707107,LULA,10900,81.25838676010139
2707107,JAIR BOLSONARO,1800,13.418816162218578
2707107,SIMONE TEBET,382,2.8477709855374984
2707107,CIRO GOMES,230,1.7146265096168183
2707107,SORAYA THRONICKE,78,0.5814820336961384
2707107,PADRE KELMON,12,0.08945877441479051
2707107,FELIPE D'AVILA,6,0.044729387207395256
2707107,SOFIA MANZANO,3,0.022364693603697628
2707107,VERA,2,0.01490979573579842
2707107,LÉO PÉRICLES,1,0.00745489786789921
2707107,EYMAEL,0,0.0
2707602,LULA,5252,71.71924074832718
2707602,JAIR BOLSONARO,1672,22.832172606855114
2707602,SIMONE TEBET,177,2.417042195821385
2707602,CIRO GOMES,159,2.1712412945514132
2707602,SORAYA THRONICKE,49,0.6691246756793664
2707602,PADRE KELMON,9,0.12290045063498567
2707602,SOFIA MANZANO,3,0.04096681687832855
2707602,EYMAEL,1,0.013655605626109518
2707602,FELIPE D'AVILA,1,0.013655605626109518
2707602,LÉO PÉRICLES,0,0.0
2707602,VERA,0,0.0
2702900,LULA,15297,78.49445812807882
2702900,JAIR BOLSONARO,3102,15.917487684729064
2702900,SIMONE TEBET,491,2.5194991789819374
2702900,CIRO GOMES,454,2.3296387520525452
2702900,SORAYA THRONICKE,108,0.5541871921182266
2702900,PADRE KELMON,20,0.10262725779967159
2702900,FELIPE D'AVILA,8,0.041050903119868636
2702900,LÉO PÉRICLES,4,0.020525451559934318
2702900,SOFIA MANZANO,3,0.01539408866995074
